origin,destination,count,percent
ATL,"MCO

",100,0.63
ATL,FLL,100,0.62
ATL,LGA,100,0.58
LAX,SFO,100,0.61
LAX,JFK ,100,0.71
LAX,ORD,100,0.74
ORD,LGA,100,0.69
ORD,LAX ,100,0.71
ORD,SFO,100,0.64
DFW,LAX ,100,0.64
DFW,ATL,100,0.71
DFW,ORD,100,0.64
DEN,PHX ,100,0.69
DEN,LAX ,100,0.7
DEN,LAS,100,0.74
JFK,LAX,100,0.77
JFK,SFO ,100,0.74
JFK,MCO,100,0.67
SFO,LAX,100,0.69
SFO,JFK ,100,0.71
SFO,ORD ,100,0.74
CLT,ATL ,100,0.68
CLT,LGA,100,0.67
CLT,DFW ,100,0.74
LAS,LAX,100,0.69
LAS,SFO,100,0.66
LAS,DEN,100,0.79
PHX,DEN,100,0.75
PHX,LAX ,100,0.69
PHX,SEA ,100,0.78
MIA,ATL ,100,0.65
MIA,LGA ,100,0.62
MIA,DFW ,100,0.62
IAH,LAX ,100,0.51
IAH,DEN ,100,0.73
IAH,ORD ,100,0.64
BOS,ORD ,100,0.74
BOS,DCA ,100,0.75
BOS,ATL ,100,0.71
SEA,LAX ,100,0.78
SEA,SFO ,100,0.68
SEA,ANC ,100,0.75
DCA,ATL ,100,0.7
DCA,BOS,100,0.68
DCA,ORD ,100,0.72
