origin,destination,count
BOS,ATL,0.71
BOS,DCA,0.75
BOS,ORD,0.74
CLT,ATL,0.68
CLT,DFW,0.74
CLT,LGA,0.67
DCA,ATL,0.7
DCA,BOS,0.68
DCA,ORD,0.72
DEN,LAS,0.74
DEN,LAX,0.7
DEN,PHX,0.69
DFW,ATL,0.71
DFW,LAX,0.64
DFW,ORD,0.64
IAH,DEN,0.73
IAH,LAX,0.51
IAH,ORD,0.64
JFK,LAX,0.77
JFK,MCO,0.67
JFK,SFO,0.74
LAS,DEN,0.79
LAS,LAX,0.69
LAS,SFO,0.66
LAX,JFK,0.71
LAX,ORD,0.74
LAX,SFO,0.61
MIA,ATL,0.65
MIA,DFW,0.62
MIA,LGA,0.62
ORD,LAX,0.71
ORD,LGA,0.69
ORD,SFO,0.64
PHX,DEN,0.75
PHX,LAX,0.69
PHX,SEA,0.78
SEA,LAX,0.78
SEA,SFO,0.68
SFO,JFK,0.71
SFO,LAX,0.69
SFO,ORD,0.74
