origin,destination,count,,,,,,,,,,,,,,,,,,,,,,,
ATL,DFW,0.72,,,,,,,,,,,,,,,,,,,,,,,
ATL,FLL,0.62,,,,,,,,,,,,,,,,,,,,,,,
ATL,LGA,0.58,,,,,,,,,,,,,,,,,,,,,,,
ATL,TPA,0.65,,,,,,,,,,,,,,,,,,,,,,,
BOS,ATL,0.71,,,,,,,,,,,,,,,,,,,,,,,
BOS,DCA,0.75,,,,,,,,,,,,,,,,,,,,,,,
BOS,ORD,0.74,,,,,,,,,,,,,,,,,,,,,,,
BOS,PHL,0.74,,,,,,,,,,,,,,,,,,,,,,,
BOS,SFO,0.68,,,,,,,,,,,,,,,,,,,,,,,
CLT,ATL,0.68,,,,,,,,,,,,,,,,,,,,,,,
CLT,BOS,0.68,,,,,,,,,,,,,,,,,,,,,,,
CLT,DFW,0.74,,,,,,,,,,,,,,,,,,,,,,,
CLT,LGA,0.67,,,,,,,,,,,,,,,,,,,,,,,
CLT,ORD,0.68,,,,,,,,,,,,,,,,,,,,,,,
DCA,ATL,0.7,,,,,,,,,,,,,,,,,,,,,,,
DCA,BOS,0.68,,,,,,,,,,,,,,,,,,,,,,,
DCA,LAX,0.78,,,,,,,,,,,,,,,,,,,,,,,
DCA,ORD,0.72,,,,,,,,,,,,,,,,,,,,,,,
DCA,SFO,0.71,,,,,,,,,,,,,,,,,,,,,,,
DEN,DFW,0.7,,,,,,,,,,,,,,,,,,,,,,,
DEN,LAS,0.74,,,,,,,,,,,,,,,,,,,,,,,
DEN,LAX,0.7,,,,,,,,,,,,,,,,,,,,,,,
DEN,PHX,0.69,,,,,,,,,,,,,,,,,,,,,,,
DEN,SFO,0.62,,,,,,,,,,,,,,,,,,,,,,,
DFW,ATL,0.71,,,,,,,,,,,,,,,,,,,,,,,
DFW,DEN,0.74,,,,,,,,,,,,,,,,,,,,,,,
DFW,LAX,0.64,,,,,,,,,,,,,,,,,,,,,,,
DFW,LGA,0.69,,,,,,,,,,,,,,,,,,,,,,,
DFW,ORD,0.64,,,,,,,,,,,,,,,,,,,,,,,
DTW,ATL,0.67,,,,,,,,,,,,,,,,,,,,,,,
DTW,LAS,0.64,,,,,,,,,,,,,,,,,,,,,,,
DTW,LGA,0.65,,,,,,,,,,,,,,,,,,,,,,,
DTW,MCO,0.66,,,,,,,,,,,,,,,,,,,,,,,
DTW,ORD,0.63,,,,,,,,,,,,,,,,,,,,,,,
EWR,CLT,0.75,,,,,,,,,,,,,,,,,,,,,,,
EWR,LAX,0.64,,,,,,,,,,,,,,,,,,,,,,,
EWR,MCO,0.69,,,,,,,,,,,,,,,,,,,,,,,
EWR,ORD,0.68,,,,,,,,,,,,,,,,,,,,,,,
EWR,SFO,0.65,,,,,,,,,,,,,,,,,,,,,,,
IAH,DEN,0.73,,,,,,,,,,,,,,,,,,,,,,,
IAH,DFW,0.69,,,,,,,,,,,,,,,,,,,,,,,
IAH,LAX,0.51,,,,,,,,,,,,,,,,,,,,,,,
IAH,ORD,0.64,,,,,,,,,,,,,,,,,,,,,,,
IAH,SFO,0.58,,,,,,,,,,,,,,,,,,,,,,,
